Visa Subclass,Outcome,31/07/2022,31/08/2022,30/09/2022,31/10/2022,30/11/2022,31/12/2022,31/01/2023
189 Skilled - Independent,Granted,295,364,1103,1087,1985,2847,10230
,Refused,28,14,50,25,7,20,40
190 Skilled - Nominated,Granted,1131,1650,1284,1607,5121,4791,3445
,Refused,27,54,11,13,9,17,30
489 Skilled - Regional (Provisional),Granted,77,75,99,63,159,882,356
,Refused,0,5,0,0,0,6,0
491 Skilled Work Regional (Provisional),Granted,949,1293,1148,1126,1912,2103,2562
,Refused,28,29,37,9,0,10,42
887 Skilled - Regional,Granted,110,99,220,197,204,155,302
,Refused,0,0,7,0,0,0,0
